accepted_count,coverage,accepted_accuracy,risk,confidence
1,0.0014641288433382138,1.0,0.0,0.9811426997184752
2,0.0029282576866764276,1.0,0.0,0.9804633259773254
3,0.004392386530014641,1.0,0.0,0.980432152748108
4,0.005856515373352855,1.0,0.0,0.979814350605011
5,0.007320644216691069,1.0,0.0,0.9795162081718444
6,0.008784773060029283,1.0,0.0,0.9794164896011353
7,0.010248901903367497,1.0,0.0,0.9792380928993224
8,0.01171303074670571,1.0,0.0,0.979219377040863
9,0.013177159590043924,1.0,0.0,0.9792004823684692
10,0.014641288433382138,1.0,0.0,0.979106903076172
11,0.016105417276720352,1.0,0.0,0.9790993332862854
12,0.017569546120058566,1.0,0.0,0.9790357947349548
13,0.01903367496339678,1.0,0.0,0.9790158271789552
14,0.020497803806734993,1.0,0.0,0.978974461555481
15,0.021961932650073207,1.0,0.0,0.9789392948150636
16,0.02342606149341142,1.0,0.0,0.978910744190216
17,0.024890190336749635,1.0,0.0,0.9788689017295836
18,0.02635431918008785,1.0,0.0,0.978570520877838
19,0.027818448023426062,1.0,0.0,0.9784408807754515
20,0.029282576866764276,1.0,0.0,0.9782292246818542
21,0.03074670571010249,1.0,0.0,0.9782189726829528
22,0.032210834553440704,1.0,0.0,0.9781910181045532
23,0.03367496339677892,1.0,0.0,0.977792501449585
24,0.03513909224011713,1.0,0.0,0.9776967763900756
25,0.036603221083455345,1.0,0.0,0.9772084951400756
26,0.03806734992679356,1.0,0.0,0.9771183729171752
27,0.03953147877013177,0.9629629629629629,0.03703703703703709,0.9769557118415833
28,0.040995607613469986,0.9642857142857143,0.0357142857142857,0.9769551753997804
29,0.0424597364568082,0.9655172413793104,0.03448275862068961,0.9767472147941588
30,0.043923865300146414,0.9666666666666667,0.033333333333333326,0.9764753580093384
31,0.04538799414348463,0.967741935483871,0.032258064516129004,0.976466715335846
32,0.04685212298682284,0.96875,0.03125,0.9764066338539124
33,0.048316251830161056,0.9696969696969697,0.030303030303030276,0.9760417342185974
34,0.04978038067349927,0.9705882352941176,0.02941176470588236,0.9758032560348512
35,0.05124450951683748,0.9714285714285714,0.02857142857142858,0.9758005738258362
36,0.0527086383601757,0.9722222222222222,0.02777777777777779,0.9756819605827332
37,0.05417276720351391,0.972972972972973,0.027027027027026973,0.9754811525344848
38,0.055636896046852125,0.9736842105263158,0.02631578947368418,0.97539222240448
39,0.05710102489019034,0.9743589743589743,0.02564102564102566,0.9753062129020692
40,0.05856515373352855,0.975,0.025000000000000022,0.9752946496009828
41,0.060029282576866766,0.975609756097561,0.024390243902439046,0.9752238392829896
42,0.06149341142020498,0.9761904761904762,0.023809523809523836,0.9751752018928528
43,0.0629575402635432,0.9767441860465116,0.023255813953488413,0.973962426185608
44,0.06442166910688141,0.9772727272727273,0.022727272727272707,0.9737640023231506
45,0.06588579795021962,0.9777777777777777,0.022222222222222254,0.9736977815628052
46,0.06734992679355783,0.9782608695652174,0.021739130434782594,0.9731062650680542
47,0.06881405563689605,0.9787234042553191,0.021276595744680882,0.9730253219604492
48,0.07027818448023426,0.9791666666666666,0.02083333333333337,0.9728427529335022
49,0.07174231332357248,0.9795918367346939,0.020408163265306145,0.9725733995437622
50,0.07320644216691069,0.98,0.020000000000000018,0.9722899198532104
51,0.0746705710102489,0.9803921568627451,0.019607843137254943,0.972203016281128
52,0.07613469985358712,0.9807692307692307,0.019230769230769273,0.9721661806106568
53,0.07759882869692533,0.9811320754716981,0.018867924528301883,0.9720485806465148
54,0.07906295754026355,0.9814814814814815,0.01851851851851849,0.9715813398361206
55,0.08052708638360176,0.9818181818181818,0.018181818181818188,0.971035897731781
56,0.08199121522693997,0.9821428571428571,0.017857142857142905,0.970995843410492
57,0.08345534407027819,0.9824561403508771,0.01754385964912286,0.9709926843643188
58,0.0849194729136164,0.9827586206896551,0.017241379310344862,0.9700685739517212
59,0.08638360175695461,0.9661016949152542,0.03389830508474578,0.9692797064781188
60,0.08784773060029283,0.9666666666666667,0.033333333333333326,0.9691135287284852
61,0.08931185944363104,0.9672131147540983,0.032786885245901676,0.9689733982086182
62,0.09077598828696926,0.967741935483871,0.032258064516129004,0.9685766696929932
63,0.09224011713030747,0.9682539682539683,0.031746031746031744,0.9682565927505492
64,0.09370424597364568,0.953125,0.046875,0.9670003056526184
65,0.0951683748169839,0.9538461538461539,0.0461538461538461,0.96639084815979
66,0.09663250366032211,0.9545454545454546,0.045454545454545414,0.9659374952316284
67,0.09809663250366032,0.9552238805970149,0.04477611940298509,0.9656112790107728
68,0.09956076134699854,0.9558823529411765,0.044117647058823484,0.9655718207359314
69,0.10102489019033675,0.9565217391304348,0.04347826086956519,0.964709997177124
70,0.10248901903367497,0.9571428571428572,0.042857142857142816,0.9646210670471193
71,0.10395314787701318,0.9577464788732394,0.04225352112676062,0.9641953110694884
72,0.1054172767203514,0.9444444444444444,0.05555555555555558,0.9641199111938475
73,0.10688140556368961,0.9452054794520548,0.0547945205479452,0.964101791381836
74,0.10834553440702782,0.9459459459459459,0.05405405405405406,0.9640982151031494
75,0.10980966325036604,0.9333333333333333,0.06666666666666665,0.9636707901954652
76,0.11127379209370425,0.9342105263157895,0.06578947368421051,0.963542640209198
77,0.11273792093704246,0.935064935064935,0.06493506493506496,0.9632093906402588
78,0.11420204978038068,0.9358974358974359,0.0641025641025641,0.9631576538085938
79,0.11566617862371889,0.9367088607594937,0.06329113924050633,0.9631279110908508
80,0.1171303074670571,0.925,0.07499999999999996,0.963124930858612
81,0.11859443631039532,0.9259259259259259,0.07407407407407407,0.9626580476760864
82,0.12005856515373353,0.926829268292683,0.07317073170731703,0.9623872637748718
83,0.12152269399707175,0.927710843373494,0.07228915662650603,0.9623490571975708
84,0.12298682284040996,0.9166666666666666,0.08333333333333337,0.9623480439186096
85,0.12445095168374817,0.9176470588235294,0.08235294117647063,0.962027668952942
86,0.1259150805270864,0.9186046511627907,0.08139534883720934,0.9619656801223756
87,0.1273792093704246,0.9195402298850575,0.08045977011494254,0.9619224071502686
88,0.12884333821376281,0.9204545454545454,0.07954545454545459,0.9615521430969238
89,0.13030746705710103,0.9213483146067416,0.0786516853932584,0.9613128304481506
90,0.13177159590043924,0.9111111111111111,0.0888888888888889,0.9606047868728638
91,0.13323572474377746,0.9120879120879121,0.08791208791208793,0.9603964686393738
92,0.13469985358711567,0.9021739130434783,0.09782608695652173,0.958693265914917
93,0.13616398243045388,0.9032258064516129,0.09677419354838712,0.9586281776428224
94,0.1376281112737921,0.9042553191489362,0.0957446808510638,0.9585716128349304
95,0.1390922401171303,0.9052631578947369,0.09473684210526312,0.9580866098403932
96,0.14055636896046853,0.90625,0.09375,0.9573116302490234
97,0.14202049780380674,0.9072164948453608,0.09278350515463918,0.9570179581642152
98,0.14348462664714495,0.8979591836734694,0.10204081632653061,0.9566854238510132
99,0.14494875549048317,0.8888888888888888,0.11111111111111116,0.9566595554351808
100,0.14641288433382138,0.88,0.12,0.95661723613739
101,0.1478770131771596,0.8811881188118812,0.1188118811881188,0.9562086462974548
102,0.1493411420204978,0.8725490196078431,0.12745098039215685,0.9554906487464904
103,0.15080527086383602,0.8640776699029126,0.13592233009708743,0.9553261399269104
104,0.15226939970717424,0.8557692307692307,0.14423076923076927,0.955309510231018
105,0.15373352855051245,0.8571428571428571,0.1428571428571429,0.9550843238830566
106,0.15519765739385066,0.8584905660377359,0.14150943396226412,0.9548635482788086
107,0.15666178623718888,0.8598130841121495,0.14018691588785048,0.9547014832496644
108,0.1581259150805271,0.8611111111111112,0.13888888888888884,0.954397678375244
109,0.1595900439238653,0.8532110091743119,0.14678899082568808,0.9537505507469176
110,0.16105417276720352,0.8545454545454545,0.1454545454545455,0.9536986351013184
111,0.16251830161054173,0.8468468468468469,0.15315315315315314,0.9536445140838624
112,0.16398243045387995,0.8482142857142857,0.1517857142857143,0.9535803198814392
113,0.16544655929721816,0.8495575221238938,0.1504424778761062,0.9527806639671326
114,0.16691068814055637,0.8421052631578947,0.1578947368421053,0.9526481628417968
115,0.1683748169838946,0.8434782608695652,0.15652173913043477,0.9523617625236512
116,0.1698389458272328,0.8448275862068966,0.15517241379310343,0.9521036148071288
117,0.17130307467057102,0.8461538461538461,0.15384615384615385,0.9507374167442322
118,0.17276720351390923,0.847457627118644,0.15254237288135597,0.9503642916679382
119,0.17423133235724744,0.8403361344537815,0.15966386554621848,0.9500427842140198
120,0.17569546120058566,0.8333333333333334,0.16666666666666663,0.9498838782310486
121,0.17715959004392387,0.8347107438016529,0.1652892561983471,0.9497331380844116
122,0.17862371888726208,0.8278688524590164,0.17213114754098358,0.949489414691925
123,0.1800878477306003,0.8211382113821138,0.17886178861788615,0.9488937854766846
124,0.1815519765739385,0.8225806451612904,0.17741935483870963,0.9481343030929564
125,0.18301610541727673,0.816,0.18400000000000005,0.9476748108863832
126,0.18448023426061494,0.8174603174603174,0.18253968253968256,0.9476383328437804
127,0.18594436310395315,0.8110236220472441,0.1889763779527559,0.947537899017334
128,0.18740849194729137,0.8046875,0.1953125,0.947537899017334
129,0.18887262079062958,0.7984496124031008,0.20155038759689925,0.9470841884613036
130,0.1903367496339678,0.8,0.19999999999999996,0.9461187720298768
131,0.191800878477306,0.8015267175572519,0.1984732824427481,0.9457182884216307
132,0.19326500732064422,0.7954545454545454,0.20454545454545459,0.9453530311584472
133,0.19472913616398244,0.7969924812030075,0.20300751879699253,0.9448237419128418
134,0.19619326500732065,0.7985074626865671,0.20149253731343286,0.9446436762809752
135,0.19765739385065886,0.8,0.19999999999999996,0.944263756275177
136,0.19912152269399708,0.7941176470588235,0.20588235294117652,0.944016933441162
137,0.2005856515373353,0.7956204379562044,0.2043795620437956,0.943488359451294
138,0.2020497803806735,0.7971014492753623,0.2028985507246377,0.9430267810821532
139,0.20351390922401172,0.7913669064748201,0.2086330935251799,0.9428723454475404
140,0.20497803806734993,0.7928571428571428,0.20714285714285718,0.9426469802856444
141,0.20644216691068815,0.7872340425531915,0.21276595744680848,0.9418287873268129
142,0.20790629575402636,0.7887323943661971,0.21126760563380287,0.9416858553886414
143,0.20937042459736457,0.7832167832167832,0.21678321678321677,0.941194236278534
144,0.2108345534407028,0.7777777777777778,0.2222222222222222,0.941132128238678
145,0.212298682284041,0.7724137931034483,0.22758620689655173,0.9407026767730712
146,0.21376281112737922,0.773972602739726,0.226027397260274,0.940451979637146
147,0.21522693997071743,0.7755102040816326,0.22448979591836737,0.9402117729187012
148,0.21669106881405564,0.7702702702702703,0.22972972972972971,0.9399450421333312
149,0.21815519765739386,0.7651006711409396,0.2348993288590604,0.93992418050766
150,0.21961932650073207,0.76,0.24,0.9396726489067078
151,0.22108345534407028,0.7615894039735099,0.23841059602649006,0.9393182396888732
152,0.2225475841874085,0.756578947368421,0.24342105263157898,0.93873929977417
153,0.2240117130307467,0.7581699346405228,0.24183006535947715,0.9380303025245668
154,0.22547584187408493,0.7532467532467533,0.24675324675324672,0.937690794467926
155,0.22693997071742314,0.7548387096774194,0.2451612903225806,0.937597393989563
156,0.22840409956076135,0.75,0.25,0.9370543360710144
157,0.22986822840409957,0.7452229299363057,0.2547770700636943,0.936676025390625
158,0.23133235724743778,0.7468354430379747,0.25316455696202533,0.9365055561065674
159,0.232796486090776,0.7484276729559748,0.2515723270440252,0.9365026354789734
160,0.2342606149341142,0.74375,0.25625,0.936299204826355
161,0.23572474377745242,0.7391304347826086,0.26086956521739135,0.9351223707199096
162,0.23718887262079064,0.7345679012345679,0.26543209876543206,0.93507319688797
163,0.23865300146412885,0.7300613496932515,0.26993865030674846,0.934987723827362
164,0.24011713030746706,0.7317073170731707,0.2682926829268293,0.9348629117012024
165,0.24158125915080528,0.7333333333333333,0.2666666666666667,0.9348208904266356
166,0.2430453879941435,0.7289156626506024,0.27108433734939763,0.9337267875671388
167,0.2445095168374817,0.7245508982035929,0.27544910179640714,0.933058261871338
168,0.24597364568081992,0.7261904761904762,0.27380952380952384,0.933039665222168
169,0.24743777452415813,0.7218934911242604,0.2781065088757396,0.9326156377792358
170,0.24890190336749635,0.7176470588235294,0.2823529411764706,0.9317060708999634
171,0.25036603221083453,0.7134502923976608,0.2865497076023392,0.9309767484664916
172,0.2518301610541728,0.7151162790697675,0.2848837209302325,0.9303629398345948
173,0.25329428989751096,0.7109826589595376,0.2890173410404624,0.9294543266296388
174,0.2547584187408492,0.7068965517241379,0.2931034482758621,0.9294084310531616
175,0.2562225475841874,0.7085714285714285,0.2914285714285715,0.9291248321533204
176,0.25768667642752563,0.7102272727272727,0.2897727272727273,0.9291248321533204
177,0.2591508052708638,0.7062146892655368,0.29378531073446323,0.928994357585907
178,0.26061493411420206,0.702247191011236,0.297752808988764,0.9279863834381104
179,0.26207906295754024,0.6983240223463687,0.3016759776536313,0.9268032312393188
180,0.2635431918008785,0.6944444444444444,0.3055555555555556,0.9250596165657043
181,0.26500732064421667,0.6906077348066298,0.30939226519337015,0.924122989177704
182,0.2664714494875549,0.6868131868131868,0.3131868131868132,0.9240949749946594
183,0.2679355783308931,0.6885245901639344,0.3114754098360656,0.9240774512290956
184,0.26939970717423134,0.6902173913043478,0.3097826086956522,0.9236037731170654
185,0.2708638360175695,0.6918918918918919,0.30810810810810807,0.9207707047462464
186,0.27232796486090777,0.6881720430107527,0.31182795698924726,0.9206843376159668
187,0.27379209370424595,0.6844919786096256,0.31550802139037437,0.9206063151359558
188,0.2752562225475842,0.6861702127659575,0.31382978723404253,0.9199593663215636
