group,n,confidence_mean,confidence_median,margin_mean,margin_median,prob_malignant_mean,doppler_rate,marks_rate,combined_rate,clean_input_rate
malignant_true_positive,39,0.8981420902105478,0.9303629398345948,0.8127394332669866,0.8755458518862724,0.8981420902105478,0.2564102564102564,0.6410256410256411,0.0,0.358974358974359
malignant_false_negative,51,0.8037638746055902,0.8149157762527466,0.6473326643052346,0.6675611287355423,0.11921471017686756,0.17647058823529413,0.5686274509803921,0.0,0.43137254901960786
malignant_false_positive,46,0.750965992393701,0.7752808332443237,0.5396639069785243,0.585577204823494,0.750965992393701,0.06521739130434782,0.21739130434782608,0.0,0.782608695652174
malignant_true_negative,547,0.7919496705915636,0.8264025449752808,0.6279345918276519,0.6937969923019409,0.07285809374399056,0.027422303473491772,0.16453382084095064,0.010968921389396709,0.8208409506398537
