threshold,fn_at_or_above,fn_fraction,fp_at_or_above,fp_fraction
0.8,27,0.5294117647058824,21,0.45652173913043476
0.9,16,0.3137254901960784,12,0.2608695652173913
0.95,5,0.09803921568627451,4,0.08695652173913043
